altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A
3107	24	384	92	4585	227	180	73	3066	1
2771	16	150	-29	751	244	228	109	2227	1
2970	3	212	1	2463	223	234	147	1475	1
2987	12	182	28	2356	202	217	152	1320	1
2761	14	127	22	510	201	213	148	2313	1
3156	10	409	80	5828	207	250	179	2418	1
3099	13	201	41	4853	192	220	166	2904	1
2927	10	283	64	1703	238	229	120	1358	1
3072	6	0	0	5397	206	243	175	2742	1
3142	6	42	3	4864	209	231	160	2691	1
2848	22	120	50	1015	214	185	96	1806	1
3201	27	510	97	5934	140	238	231	2736	1
3090	10	175	11	3596	217	219	137	1423	1
2908	11	30	6	1907	239	231	121	1008	1
2817	17	451	129	458	229	202	100	2552	1
3147	7	391	38	4260	229	227	132	1967	1
3195	1	450	49	4660	220	237	153	2308	1
3051	4	95	3	2707	227	236	143	627	1
3127	3	0	0	4429	212	236	163	3517	1
3131	7	0	0	4442	199	239	179	3529	1
2979	13	67	2	2536	241	231	117	430	1
3149	14	323	53	5070	225	209	115	3313	1
3164	20	277	49	5742	171	249	213	3187	1
2908	7	234	20	1253	201	238	178	1748	1
2917	8	532	-9	797	228	225	129	2333	1
2988	13	256	38	2040	240	219	107	816	1
3133	5	228	0	3912	227	239	146	1337	1
3173	8	330	32	4820	235	232	129	2253	1
2830	26	379	164	400	221	175	73	1907	1
3017	10	361	47	2463	192	232	180	395	1
3225	24	247	71	4073	216	179	87	3378	1
3123	10	90	3	5600	206	249	180	2830	1
2988	15	90	23	1867	229	206	106	1325	1
2897	14	301	-29	569	232	211	109	1914	1
3036	1	268	35	2780	217	240	160	361	1
3010	13	134	33	1939	228	213	116	1347	1
3190	6	255	12	5495	230	232	136	2658	1
3001	15	60	8	2547	245	221	101	644	1
3003	10	85	8	1768	201	225	163	1616	1
3212	2	395	31	5772	223	239	153	2440	1
2832	14	180	-3	285	235	213	106	1560	1
2805	30	124	20	212	247	176	35	1470	1
2903	8	153	-7	684	233	233	131	1951	1
3016	5	310	14	1693	229	234	138	1794	1
3054	7	180	32	1994	211	228	154	1521	1
3218	7	323	11	4846	225	225	134	2202	1
3205	4	426	34	5992	211	242	170	2069	1
3015	13	30	6	3196	186	229	184	443	1
3061	11	450	39	2289	197	224	166	1205	1
3188	4	30	2	5172	212	233	159	1854	1
3037	10	170	21	3107	235	237	132	426	1
3044	8	256	52	2584	201	243	182	902	1
3020	5	30	2	1812	228	231	137	1693	1
3018	4	30	2	2991	210	234	163	495	1
2861	18	350	170	366	239	203	88	1493	1
3130	26	192	68	4064	242	182	54	631	1
3155	5	124	-2	4677	222	228	141	1380	1
3219	4	108	-1	4563	224	231	143	1745	1
3034	8	42	0	3124	215	224	145	395	1
3172	6	319	29	4321	205	235	169	849	1
3007	10	371	55	1221	219	218	134	2352	1
3224	14	85	15	4824	180	235	195	1320	1
3306	14	270	36	3749	206	210	139	1992	1
3271	10	150	16	4179	206	222	154	1655	1
3278	4	446	120	5203	211	242	170	1761	1
3080	16	228	52	3377	175	226	191	484	1
3293	11	175	-4	4177	199	223	163	1549	1
3270	14	499	112	5274	235	241	133	1651	1
3092	6	242	54	1772	211	229	156	2103	1
3391	25	242	116	3740	178	185	138	1806	1
3284	3	443	74	5055	211	241	167	947	1
3263	7	362	37	5653	204	244	179	1390	1
3314	9	30	5	4019	202	227	165	1524	1
3265	5	201	26	5520	230	234	138	920	1
3106	5	124	29	2017	206	237	170	1984	1
2945	5	30	0	659	228	233	140	1911	1
3246	12	342	33	5659	236	239	132	1271	1
3248	10	270	35	5819	229	244	146	1173	1
3246	10	270	33	5790	231	241	142	1179	1
3197	32	210	116	4056	179	157	97	902	1
3280	0	300	37	4927	219	238	157	713	1
3115	9	90	12	2218	199	228	169	1959	1
3243	9	335	20	6027	211	222	148	1050	1
3166	11	371	30	2791	215	216	137	1448	1
3160	17	242	86	4379	177	215	176	1148	1
3367	13	170	-13	4171	228	211	114	1168	1
3228	5	313	15	6187	220	229	146	932	1
2997	14	91	17	1148	215	211	130	2397	1
3211	4	42	2	5806	224	241	152	970	1
3216	7	213	20	5342	226	244	153	1209	1
3203	4	108	8	5393	211	243	170	1110	1
3155	4	108	-4	3650	215	233	157	1397	1
3028	4	192	16	1091	215	231	153	2514	1
3218	2	30	1	3099	219	234	152	1698	1
3323	26	170	84	5070	225	174	66	108	1
3239	6	218	-1	6169	226	227	135	495	1
3208	5	0	0	5696	226	230	139	765	1
3192	6	150	-25	2658	220	227	142	2312	1
3208	3	67	0	5206	224	234	145	750	1
3220	13	0	1	3596	187	246	197	1745	1
3219	5	85	6	5662	209	232	161	824	1
3209	0	0	0	5314	219	238	156	725	1
3203	6	60	-11	3690	204	241	176	1655	1
3127	18	295	3	1774	223	201	107	3104	1
3219	2	0	0	5796	221	234	150	696	1
3094	18	430	-24	1620	245	208	86	2948	1
3275	8	90	20	6047	232	239	138	272	1
3210	3	30	1	5126	220	232	149	480	1
3238	9	182	29	5380	210	221	149	525	1
3247	11	124	28	2644	234	220	117	2661	1
2747	17	108	7	1273	206	204	132	2080	0
3264	12	170	34	5628	192	225	172	698	1
3215	14	30	12	4875	230	245	144	458	1
3021	2	127	1	931	221	234	150	2363	1
3294	13	283	71	3949	190	223	172	1353	1
3298	6	171	43	5742	209	232	160	658	1
3274	10	85	7	6044	236	223	118	495	1
2742	12	150	53	1146	195	220	164	2044	0
2694	6	0	0	847	214	229	152	2077	0
3372	11	335	94	5205	216	215	133	552	1
3082	7	192	8	1529	223	225	138	2184	1
2737	27	450	184	940	218	169	69	1970	0
2861	23	153	45	1477	200	186	114	2683	0
2848	19	446	138	495	245	204	81	1567	1
3427	21	511	81	4986	159	219	198	616	1
3090	9	150	-4	1883	235	238	135	2145	1
3099	13	120	1	1978	241	231	117	2193	1
2967	9	700	177	1060	215	221	143	2506	0
2951	16	242	63	1566	198	208	146	2617	0
2862	21	210	60	1536	156	224	207	2644	0
3351	13	484	11	3365	187	243	196	1648	1
3008	10	458	183	2007	234	221	118	2975	0
2870	21	212	89	1608	215	189	103	1885	0
3329	9	480	48	3416	198	233	175	1552	1
3135	9	242	38	1967	221	221	134	1678	1
3325	9	371	57	3312	195	237	182	1657	1
3084	12	474	-97	1717	236	217	110	1390	1
2981	13	481	95	1731	235	240	133	1922	0
2984	5	457	52	1888	224	241	152	2493	0
2664	25	67	19	1678	152	201	183	1296	0
2837	21	518	278	1198	169	206	173	938	0
2911	19	450	154	1486	183	253	203	1611	0
2673	15	42	4	1514	194	212	154	1490	0
2941	15	331	55	1842	216	252	166	1818	0
2746	36	60	24	1301	223	227	103	1822	0
2837	9	362	39	811	221	221	135	342	1
2956	19	85	24	1507	247	223	98	2516	0
3040	10	674	213	1413	216	218	140	741	1
2930	22	424	103	1150	248	199	69	470	1
2898	10	30	0	940	209	222	150	2131	0
2950	13	42	8	1631	222	249	159	2207	0
2837	23	201	50	942	209	183	101	2101	0
2922	10	0	0	2167	192	236	183	1660	0
3129	20	480	-44	1282	217	192	101	1082	1
2814	23	268	65	1337	161	205	179	1290	0
2771	11	511	305	785	221	218	131	1249	0
2970	6	0	0	1104	206	232	164	2148	0
2719	14	0	0	1377	222	209	118	1557	0
3153	11	134	-4	1179	204	250	183	1443	1
2960	21	192	36	626	182	197	149	1820	0
2925	13	247	105	685	199	217	155	1830	0
2971	18	60	19	1465	170	222	192	2096	0
2894	16	0	0	573	191	211	156	1771	0
2680	13	127	20	1237	237	218	109	847	0
2812	29	190	82	1136	207	168	81	1654	0
2930	19	120	36	503	173	214	177	1687	0
2700	11	67	0	1739	189	239	190	655	0
2810	16	30	7	741	234	206	99	301	0
2932	18	201	1	2007	170	241	209	1301	0
2876	14	228	85	1561	197	252	191	1832	0
2868	19	319	66	700	213	196	112	631	0
2684	23	90	24	408	152	220	206	612	1
3285	23	875	-61	1256	247	226	96	2700	1
2843	26	242	63	2173	142	213	207	566	0
2842	27	85	27	2281	189	173	109	780	0
2962	18	192	47	604	195	203	143	1348	0
3281	26	180	60	2135	159	250	220	3156	1
2871	19	134	39	2215	203	197	126	779	0
2930	13	150	30	1811	184	238	194	1218	0
2827	12	427	72	1104	198	219	159	1090	0
3022	20	30	8	420	167	216	187	1087	0
3310	14	600	134	3413	207	252	179	2759	1
2828	11	417	73	1252	225	215	123	962	0
2887	15	285	32	992	178	239	202	1945	0
2876	23	285	121	750	243	193	68	1207	0
3209	32	330	80	2589	215	241	133	3188	1
3016	13	395	39	1288	182	232	190	1651	0
3003	17	127	38	277	182	211	166	1507	0
3003	20	109	23	446	160	236	215	1665	0
2879	9	362	123	2190	218	248	164	664	0
3230	13	190	29	3696	214	251	170	2862	1
2893	34	180	73	201	129	169	166	912	1
2983	8	379	27	1501	198	240	183	1357	0
3195	10	90	0	3630	224	247	155	3021	1
2939	11	300	127	1663	201	249	187	1223	0
2885	16	192	65	212	190	214	162	1448	1
2792	17	234	64	2419	191	208	152	602	0
3023	16	216	24	2081	226	247	149	3972	1
2849	24	85	37	1981	173	190	149	1082	0
2850	15	390	116	2546	197	212	151	781	0
2994	10	134	5	2007	224	246	154	3946	1
2906	20	60	11	765	171	207	174	2678	1
2972	31	379	118	384	157	166	135	1671	1
2885	18	95	30	1332	223	199	104	741	0
3102	21	30	2	2848	248	205	75	3861	1
2921	9	30	1	1289	218	221	138	488	0
2985	4	30	0	2060	226	236	145	3995	1
2905	3	30	0	1033	224	238	150	2940	1
2889	11	511	47	2695	218	215	132	990	0
2797	14	127	28	2352	182	226	183	1235	0
2967	13	60	1	1682	216	211	128	3594	1
3098	33	268	50	2468	173	153	98	4298	1
2943	22	351	143	360	248	226	95	1142	1
3195	21	732	-27	864	201	190	119	1866	1
2914	13	361	25	2429	222	212	121	1397	0
2825	14	127	22	2536	188	220	172	1126	0
2990	15	90	19	1800	242	216	100	3621	1
2850	18	212	45	2618	196	200	137	997	0
2962	9	306	47	2955	194	236	181	1557	0
2942	23	424	137	424	251	207	71	1418	1
2859	17	134	49	134	246	226	102	1120	1
2995	8	511	80	2744	199	231	172	1652	0
2999	6	524	113	2478	225	228	138	1690	0
2993	15	240	10	1679	177	239	202	3394	1
3206	32	67	43	1282	184	153	87	2696	1
2930	11	216	-4	1894	201	220	157	192	0
2865	20	60	20	2496	171	208	174	511	0
3286	24	124	62	1321	155	244	223	2512	1
2994	7	120	11	1829	202	236	173	3529	1
3273	11	450	49	1260	239	227	118	2282	1
3268	13	350	90	1566	196	218	160	2982	1
3036	23	424	-68	633	247	199	71	1664	1
2968	12	190	36	3113	207	215	144	1072	0
2888	12	90	17	2416	224	213	120	269	0
2986	11	277	73	2435	238	230	121	1802	0
3035	9	454	96	216	232	223	123	1860	0
2965	3	127	10	1383	214	233	158	360	0
3313	22	457	151	1681	252	215	80	2845	1
3090	14	212	38	342	226	247	149	646	0
3285	22	379	123	1624	252	212	76	2802	1
2945	2	30	5	1789	212	239	165	458	0
3127	13	242	56	240	242	225	111	864	0
3006	10	216	22	2961	204	249	182	601	0
3103	29	240	72	2797	128	215	220	2676	1
2999	17	1	1	674	244	210	89	1924	1
3062	9	0	0	418	235	228	124	663	0
3039	4	134	17	3059	223	240	153	1292	0
2855	12	201	27	967	205	216	148	2621	0
3174	16	532	103	437	244	229	109	807	0
3033	17	228	33	591	218	200	112	1756	1
2988	17	391	4	443	235	203	93	1575	1
2979	13	86	15	2708	185	243	197	741	0
3390	12	335	108	2192	239	221	110	2618	1
2988	5	511	48	1746	227	231	139	987	0
2758	14	566	59	210	213	208	129	888	0
3363	18	319	81	2157	231	201	97	2507	1
3235	10	268	-17	1664	237	229	122	2749	1
3113	30	108	32	1114	137	190	184	2143	1
2871	7	0	0	1110	230	241	144	1889	0
3071	4	60	0	3519	218	231	150	2259	1
3320	26	277	56	4054	233	238	121	2483	1
3084	10	120	16	3439	196	227	171	2170	1
3363	33	0	0	3046	112	208	227	2171	1
3018	14	134	23	1091	207	214	141	380	0
3016	6	212	44	2230	231	236	139	2442	0
3352	9	485	70	2201	236	233	128	2309	1
3123	16	127	4	900	244	214	94	572	0
2644	8	150	10	201	218	223	141	488	0
3177	14	85	-3	1601	219	208	122	2523	1
2788	14	85	14	1048	213	209	129	3139	0
2848	23	404	132	510	186	254	196	1933	0
3145	19	30	8	3769	171	217	183	1820	1
2868	25	150	66	150	252	199	59	984	1
3065	8	85	10	2910	204	247	181	1598	0
3069	7	124	13	2867	212	247	173	1657	0
3146	20	127	9	3869	162	224	200	1777	1
3077	5	277	39	2836	225	230	140	1434	0
3067	5	228	27	2947	219	230	147	1499	0
3247	15	150	31	1802	233	207	103	2340	1
3124	14	108	12	4170	213	210	129	1812	1
3203	21	85	-1	3773	164	216	189	1660	1
3093	11	750	39	2423	230	218	119	2228	0
3015	14	210	7	1707	201	213	149	1328	0
3157	19	42	4	4000	165	228	202	1608	1
3231	17	335	49	1383	174	230	196	2236	1
3231	19	0	0	1194	225	197	98	953	0
3157	9	85	6	4437	207	224	155	1797	1
3528	22	272	115	3077	152	231	216	1608	1
3050	23	0	0	598	241	191	69	1482	1
3170	14	30	7	4073	192	217	163	1501	1
3239	21	361	126	1130	234	192	81	2003	1
3067	13	210	66	2114	233	214	110	2832	0
3191	20	228	38	4476	173	208	172	1648	1
3094	3	342	18	2670	222	233	147	1797	0
3086	6	285	32	2448	204	233	168	2080	0
3091	8	420	90	2089	220	223	140	2704	0
2944	10	845	-75	1249	207	250	179	1771	0
3088	5	300	87	2037	215	229	150	2816	0
2712	19	60	18	1022	204	254	181	1833	0
2850	15	376	62	1142	230	207	106	1475	0
3432	18	582	217	2215	216	197	110	1852	1
3539	19	900	324	2520	225	195	96	1573	1
3448	16	595	214	2131	217	202	116	1824	1
3045	18	60	23	1862	232	201	95	3097	0
3108	21	532	2	2078	180	198	153	1398	0
2772	11	30	3	932	203	219	153	2103	0
2698	26	42	16	1261	190	253	185	1616	0
2860	11	255	-14	1445	205	218	149	2872	0
3095	6	306	18	2501	230	235	138	2012	0
3283	10	90	-5	3972	238	229	121	2166	1
3156	15	541	20	2135	224	206	113	1116	0
3202	7	67	1	4224	200	237	178	1572	1
3183	7	564	17	2145	218	224	142	1101	0
2979	15	150	40	2310	180	228	188	2309	0
3082	13	190	44	713	238	218	108	1602	1
2998	20	176	55	470	250	217	86	1339	1
3002	22	150	-25	510	251	215	81	1358	1
3208	21	391	67	2343	197	190	124	1332	0
2915	12	180	31	1679	212	214	138	2750	0
3413	36	234	108	4156	200	143	54	892	1
3034	15	120	21	2522	241	212	98	2023	0
3123	14	134	17	2476	240	235	122	1718	0
3395	21	600	110	1996	242	200	78	1708	1
3641	20	1072	356	2530	235	198	87	1253	1
2684	17	150	45	890	228	201	100	1172	0
3230	10	256	34	1312	236	225	119	1775	1
2983	17	228	30	2081	223	201	107	2923	0
3209	15	95	-1	2680	236	209	100	1638	0
3159	11	30	0	2701	218	215	132	1782	0
2741	20	300	104	966	229	197	94	942	0
3068	14	351	-51	2026	180	229	188	2292	0
3247	12	90	-19	1442	240	228	117	1773	1
2678	16	120	48	1087	242	210	94	1075	0
3094	16	150	32	2932	196	208	147	2291	0
2945	9	210	17	365	232	223	122	757	1
2770	10	120	4	2155	230	221	123	726	0
3371	13	212	116	3408	200	251	187	438	1
3597	22	830	378	2714	251	215	80	914	1
3464	15	648	179	2250	237	209	100	1368	1
2774	26	335	141	1026	247	187	52	780	0
2751	26	277	118	1084	247	187	52	836	0
